West Virginia,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,#002855
Wisconsin,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,#C5050C
Wyoming,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,#492F24
Abilene Christian,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,#4E2683
Alabama A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,#660000
Alabama State,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,#C99700
Albany,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png,#46166B
Alcorn State,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,#46166A
Alderson-Broaddus,http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png,
American International,http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png,
Amherst College,http://a.espncdn.com/i/teamlogos/ncaa/500/7.png,
Anderson (IN),http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png,
Arkansas-Pine Bluff,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,#000000
Arkansas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png,
Austin Peay,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,#BA0C2F
Bemidji State,http://a.espncdn.com/i/teamlogos/ncaa/500/132.png,
Benedict College,http://a.espncdn.com/i/teamlogos/ncaa/500/490.png,#FFC301
Bentley,http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png,
Bethel (TN),http://a.espncdn.com/i/teamlogos/ncaa/500/2064.png,
Bethune-Cookman,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,#6F263D
Bloomsburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png,
Bridgewater (VA),http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png,
Brown,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png,#381C00
Bryant,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,#B09863
Bucknell,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,#EF5B0C
Butler,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,#13294B
California (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2858.png,#DA291C
Cal Poly,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png,#003831
Campbell,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,#E87722
Carroll (WI),http://a.espncdn.com/i/teamlogos/ncaa/500/32.png,
Central Arkansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,#4F2D7F
Central Connecticut,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,#1A4784
Central Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png,#AB0032
Charleston Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,#002855
Chattanooga,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png,#00386B
Claremont,http://a.espncdn.com/i/teamlogos/ncaa/500/17.png,
Clarion,http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png,
Colby,http://a.espncdn.com/i/teamlogos/ncaa/500/33.png,
Colgate,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,#862633
Colorado College,http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png,
Columbia,http://a.espncdn.com/i/teamlogos/ncaa/500/171.png,#99CAEA
Concord,http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png,
Cornell,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png,#B31B1B
Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/512.png,
Dartmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png,#005F2F
Davidson,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,#BF0C26
Dayton,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,#CE1141
Delaware,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,#00539F
Delaware State,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,#EE3124
Delta State,http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png,
Drake,http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,#003B73
Duquesne,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,#091F40
Eastern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,#003399
Eastern Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,#4C151E
Eastern Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/331.png,#A10022
East Stroudsburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png,
East Tennessee State,http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,#041E42
Edinboro,http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png,
Elon,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,#73000A
Ferris State,http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png,#BA0C2F
Florida A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png,#F4811F
Florida Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/53.png,
Fordham,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,#95003A
Furman,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png,#582C83
Gannon,http://a.espncdn.com/i/teamlogos/ncaa/500/367.png,
Gardner-Webb,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,#A6192E
George Mason,http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,
Georgetown,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png,#00205C
Graceland University,http://a.espncdn.com/i/teamlogos/ncaa/500/530.png,
Grambling,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,#000000
Grand Valley State,http://a.espncdn.com/i/teamlogos/ncaa/500/125.png,
Hampton,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,#265198
Harding University,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png,#000000
Harvard,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png,#A51C30
Henderson State,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png,
Holy Cross,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png,#602D89
Houston Christian,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,#00529C
Howard,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png,#003A63
Idaho,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,#B3A369
Idaho State,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png,#F47920
Illinois State,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,#CE1126
Incarnate Word,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,#CB333B
Indiana (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png,
Indiana State,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,#0142BC
Jackson State,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,#002147
Jacksonville,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png,#084E44
Jacksonville State,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,#CC0000
James Madison,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,#450084
Kennesaw State,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,#0B1315
Kentucky State,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png,#056839
Kutztown,http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png,#782F40
Lafayette,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png,#910029
Lamar,http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,#E31937
Long Island University,http://a.espncdn.com/i/teamlogos/ncaa/500/2341.png,#69B3E7
Lehigh,http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,#4B2913
Lenoir-Rhyne,http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png,
Lock Haven,http://a.espncdn.com/i/teamlogos/ncaa/500/209.png,
Maine,http://a.espncdn.com/i/teamlogos/ncaa/500/311.png,#000000
Marist,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,#C8102E
Mars Hill,http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png,
McKendree,http://a.espncdn.com/i/teamlogos/ncaa/500/2816.png,#470A68
McNeese,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,#00529B
Mercer,http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,#CB5307
Mercyhurst,http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png,#0F4F44
Merrimack,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,#0B335E
Michigan Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png,
Millersville,http://a.espncdn.com/i/teamlogos/ncaa/500/210.png,
Minnesota-Duluth,http://a.espncdn.com/i/teamlogos/ncaa/500/134.png,
Minnesota State Mankato,http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png,#480059
Minnesota St-Moorhead,http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png,
Mississippi Valley State,http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,#046A38
Missouri Baptist,http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png,
Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,#5E0009
Monmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,#041E42
Montana,http://a.espncdn.com/i/teamlogos/ncaa/500/149.png,#660033
Montana State,http://a.espncdn.com/i/teamlogos/ncaa/500/147.png,#00205B
Montana-Western,http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png,
Morehead State,http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,#005EB8
Morehouse,http://a.espncdn.com/i/teamlogos/ncaa/500/60.png,
Morgan State,http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,#002D74
Murray State,http://a.espncdn.com/i/teamlogos/ncaa/500/93.png,#002144
Nebraska-Omaha,http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,
New Hampshire,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png,#001D52
New Haven,http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png,
New Mexico Highlands,http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png,
Nicholls,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,#C41230
Norfolk State,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,#007A53
North Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,#46166B
North Carolina A&T,http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,#004684
North Carolina Central,http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,#862633
North Dakota,http://a.espncdn.com/i/teamlogos/ncaa/500/155.png,#009A44
North Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,#005643
Northern Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,#003466
Northern Colorado,http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,#013C65
Northern Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,#4B116F
Northern Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/128.png,
Northwestern State,http://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,#492F92
Northwest Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/138.png,
Notre Dame College,http://a.espncdn.com/i/teamlogos/ncaa/500/587.png,
Pennsylvania,http://a.espncdn.com/i/teamlogos/ncaa/500/219.png,#011F5b
Portland State,http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,#154734
Prairie View,http://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,#330066
Presbyterian College,http://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,#0060A9
Princeton,http://a.espncdn.com/i/teamlogos/ncaa/500/163.png,#FF6000
Redlands,http://a.espncdn.com/i/teamlogos/ncaa/500/29.png,
Rhode Island,http://a.espncdn.com/i/teamlogos/ncaa/500/227.png,#75B2DD
Richmond,http://a.espncdn.com/i/teamlogos/ncaa/500/257.png,#C32032
Robert Morris,http://a.espncdn.com/i/teamlogos/ncaa/500/2523.png,#14234B
Rowan,http://a.espncdn.com/i/teamlogos/ncaa/500/2827.png,
Sacramento State,http://a.espncdn.com/i/teamlogos/ncaa/500/16.png,#043927
Sacred Heart,http://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,#CD1041
Saginaw Valley,http://a.espncdn.com/i/teamlogos/ncaa/500/129.png,
Samford,http://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,#002649
Sam Houston State,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,#012169
